distance,day
1.6978947805976535E11,455
1.6790691542332587E11,456
1.6577723537690442E11,457
1.6336676618904855E11,458
1.6064709556725534E11,459
1.5756845159838422E11,460
1.540850179871131E11,461
1.501247942952291E11,462
1.4559277229253598E11,463
1.403818968692176E11,464
1.3431532533194928E11,465
1.2717388549013606E11,466
1.1858106136219795E11,467
1.0796196049900621E11,468
9.411959287785747E10,469
5.343386820258495E10,470
9.520217232503864E9,471
1.277705291917291E10,472
4.46141882428619E10,473
7.741946823955824E10,474
1.0805307678495694E11,475
1.3574094998877701E11,476
1.602694125559017E11,477
1.8196919625585672E11,478
2.0129508293672745E11,479
2.1891220214727454E11,480
2.3528855883560138E11,481
2.5030739372023962E11,482
2.6147055308359235E11,483
2.6155749193668274E11,484
2.4655399074249393E11,485
2.42206661635285E11,486
2.5937240229939478E11,487
2.8395113564377423E11,488
3.048150226085157E11,489
3.1648011515472614E11,490
3.207053834379274E11,491
3.2254296193321826E11,492
3.216530588343276E11,493
3.2076231391279987E11,494
3.1986982230124396E11,495
3.1897401776315125E11,496
3.180776171508898E11,497
3.1717836335335254E11,498
3.1627858060808765E11,499
3.153759278758498E11,500
2.0428541167532358E11,501
1.8217571437341006E11,502
1.5873951247073566E11,503
1.5048024140833423E11,504
1.5249190192469302E11,505
1.508708277044452E11,506
1.453445144517957E11,507
1.3752092166170718E11,508
1.2806138800960478E11,509
1.1696944694189034E11,510
1.0366000381973834E11,511
8.675543296560326E10,512
3.3581624368687252E10,513
1.630069618677623E9,514
2.5352692594369007E10,515
5.3971191378274025E10,516
7.852101326772487E10,517
9.912203394311646E10,518
1.1630309510225941E11,519
1.307173614551901E11,520
1.4286073853044464E11,521
1.5320198821065564E11,522
1.6206344051223453E11,523
1.6974297468184528E11,524
1.7643706049564377E11,525
1.8233316342843338E11,526
1.875509124575531E11,527
1.9220540710544827E11,528
1.9638764165743948E11,529
2.001565196215194E11,530
2.0357838035837665E11,531
2.0669099105400522E11,532
2.0954075414203308E11,533
2.1215237683282922E11,534
2.1455932552393137E11,535
2.1677803366734442E11,536
2.1883330893367648E11,537
2.2073622133043558E11,538
2.225034390741223E11,539
2.241489957099048E11,540
2.2567910822884177E11,541
2.2710673030873566E11,542
2.2843611659645145E11,543
2.2967757466526822E11,544
2.308340201398783E11,545
2.3191376866785016E11,546
2.3291881885626538E11,547
2.338559546500684E11,548
2.3472654879468704E11,549
2.3553519182495377E11,550
2.362858106595323E11,551
2.369792031849313E11,552
2.3761958192062384E11,553
2.3820752534482535E11,554
2.387465368221195E11,555
2.3923706506892017E11,556
2.3968202205574927E11,557
2.4008179245472534E11,558
2.4043878740345956E11,559
2.4075337614076828E11,560
2.4102721604637674E11,561
2.4126166706507758E11,562
2.4145714010376425E11,563
2.4161507043840298E11,564
2.4173592743512775E11,565
2.4182083372144354E11,566
2.4187033443451736E11,567
2.4188527103010403E11,568
2.4186627707447913E11,569
2.4181393824892346E11,570
2.4172898564473755E11,571
2.4161193905195056E11,572
2.4146312530989508E11,573
2.412834327470288E11,574
2.4107288909840533E11,575
2.4083249164058084E11,576
2.4056206846371463E11,577
2.4026272702534183E11,578
2.3993410525791934E11,579
2.3957742066584155E11,580
2.39192128489088E11,581
2.387795551079553E11,582
2.383395568586511E11,583
2.378718337560402E11,584
2.373778723826688E11,585
2.3685669560578146E11,586
2.3630989561782974E11,587
2.3573633192817847E11,588
2.3513770380786368E11,589
2.352184737872885E11,590
2.3438800520660962E11,591
2.3355808358603964E11,592
2.3273080415026038E11,593
2.3190509247372208E11,594
2.3107988112055417E11,595
2.3025725033058853E11,596
2.2943508368491E11,597
2.2861545173955988E11,598
2.2779624380319138E11,599
2.2697952102143005E11,600
2.2616317825821057E11,601
